vmname,ipadddress
01-LexMPS-RDC-Web-2019-Std,10.140.30.5
02-LexMPS-ConfigSite-WS-Analytics-2012,10.140.30.6
03-LexMPS-FleetView-2012-Datacenter,10.140.30.7
04-LexMPS-Osprey-2012-Datacenter,10.140.30.8
05-LexMPS-AdminTool-2012-Datacenter,10.140.30.10
06-LexMPS-FR-DIS-2012-Datacenter,10.140.30.9
07-LexMPS-SQA-ConfigSite-WS-2012,10.140.30.12
08-LexMPS-RestServices-2012-Std,10.140.30.13
09-LexMPS-LDCM-Test-2012-Std,10.140.30.11
10-LexMPS-LDCM-Test-2012-Datacenter,10.140.30.14
11-LexMPS-SQA-FR-DIS-2012-Datacenter,10.140.30.17
12-LexMPS-LDCM-Test-Win-10-Pro,10.140.30.16
bugs,10.140.42.9
BuildTeam-Ubuntu,10.140.41.4
codex,10.140.41.10
github,10.140.41.8
lexmpsdevsql01,10.140.30.24
MPS-QATEST-VM,10.140.30.31
MPS-TEST-VM-2016,10.140.30.22
MPS-WORK-VM,10.140.30.27
MPSAD,10.140.30.19
netfirm,10.140.42.7
PCBTUSELHUBAPP01,10.140.15.7
PCBTUSELNODAPP01,10.140.15.8
PCBTUSELNODAPP02,10.140.15.5
PCBTUSELNODAPP03,10.140.15.6
PCBTUSELNODAPP04,10.140.15.9
plexuirtapp01,10.140.42.5
TEST-21CXE,10.140.30.30
TEST-LDCM-21CXE,10.140.30.29
TestVM,10.140.15.4
testvmardeyimg-01,10.140.30.26
vblprodappvm01,10.140.15.69
vblprodappvm02,10.140.15.70
vblprodappvm03,10.140.15.71
vblprodappvm04,10.140.15.72
vblprodappvm05,10.140.15.73
vblprodappvm07,10.140.15.75
